DsplayName,ES_NGUID
SANTA CLARA-IVINS POLICE DEPARTMENT,LAW122@gis.utah.gov
SANTAQUIN POLICE DEPARTMENT,LAW123@gis.utah.gov
SARATOGA SPRINGS-BLUFFDALE POLICE DEPARTMENT,LAW124@gis.utah.gov
TREMONTON-GARLAND POLICE DEPARTMENT,LAW125@gis.utah.gov
GOSHUTE TRIBAL POLICE DEPARTMENT,LAW126@gis.utah.gov
NAVAJO NATION POLICE DEPARTMENT,LAW127@gis.utah.gov
TOWAOC TRIBAL POLICE DEPARTMENT,LAW128@gis.utah.gov
UTE TRIBAL POLICE DEPARTMENT,LAW129@gis.utah.gov
BIG WATER MARSHAL,LAW130@gis.utah.gov
HILL AFB SECURITY FORCES,LAW131@gis.utah.gov
RIVERTON POLICE DEPARTMENT,LAW401@gis.utah.gov
TAYLORSVILLE POLICE DEPARTMENT,LAW402@gis.utah.gov
SPRINGDALE POLICE DEPARTMENT,LAW403@gis.utah.gov
